0,0, Header,1,6,480,
1,0, Start_track,,,,
1,0, Title_t," ""liszt-beethoven symphony no.7 mv.2""",,,
1,0, Copyright_t," ""sequenced by Segundo G. Yogore",2008,"  segundoyogore@pldtdsl.net""",
1,0, Text_t," ""sequenced by Segundo G. Yogore",2008,"  dody@pldtdsl.net\012""",
1,0, Time_signature,2,2,24,8
1,0, Key_signature,0," ""major""",,
1,0, Tempo,789474,,,
1,96960, Key_signature,3," ""major""",,
1,132480, Key_signature,0," ""major""",,
1,215040, Key_signature,3," ""major""",,
1,237120, Key_signature,0," ""major""",,
1,265920, Time_signature,6,2,24,8
1,265920, End_track,,,,
2,0, Start_track,,,,
2,0, MIDI_port,0,,,
2,0, Title_t," ""Grand Piano""",,,
2,0, Program_c,2,0,,
2,0, Control_c,2,7,127,
2,0, Control_c,2,10,30,
2,0, Note_on_c,2,60.0,78,
2,0, Note_on_c,2,33.0,70,
2,0, Note_on_c,2,36.0,64,
2,1920, Note_off_c,2,36.0,0,
2,1920, Note_on_c,2,43.0,59,
2,1920, Note_off_c,2,43.0,0,
2,1920, Note_on_c,2,36.0,55,
2,1920, Note_on_c,2,48.0,52,
2,2400, Note_off_c,2,60.0,0,
2,2400, Note_on_c,2,31.0,50,
2,2400, Note_off_c,2,48.0,0,
2,2400, Note_on_c,2,43.0,48,
2,2447, Note_on_c,2,48.0,48,
2,2447, Note_off_c,2,31.0,0,
2,2640, Note_off_c,2,48.0,0,
2,2640, Note_on_c,2,48.0,47,
2,2687, Note_on_c,2,31.0,47,
2,2687, Note_off_c,2,43.0,0,
2,2880, Note_on_c,2,43.0,48,
2,2880, Note_off_c,2,43.0,0,
2,3360, Note_on_c,2,43.0,48,
2,3360, Note_off_c,2,36.0,0,
2,3360, Note_on_c,2,36.0,48,
2,3360, Note_off_c,2,36.0,0,
2,3456, Note_on_c,2,36.0,49,
2,3456, Note_off_c,2,43.0,0,
2,3840, Note_on_c,2,35.0,49,
2,3840, Note_off_c,2,35.0,0,
2,4320, Note_on_c,2,35.0,49,
2,4320, Note_off_c,2,35.0,0,
2,4320, Note_on_c,2,47.0,49,
2,4320, Note_off_c,2,47.0,0,
2,4367, Note_off_c,2,33.0,0,
2,4367, Note_on_c,2,45.0,49,
2,4560, Note_on_c,2,33.0,49,
2,4560, Note_off_c,2,33.0,0,
2,4607, Note_on_c,2,33.0,49,
2,4607, Note_off_c,2,33.0,0,
2,4800, Note_off_c,2,45.0,0,
2,4800, Note_on_c,2,45.0,49,
2,5280, Note_off_c,2,45.0,0,
2,5280, Note_on_c,2,33.0,49,
2,5280, Note_on_c,2,45.0,49,
2,5280, Note_on_c,2,32.0,49,
2,5376, Note_off_c,2,33.0,0,
2,5376, Note_on_c,2,40.0,49,
2,5760, Note_off_c,2,40.0,0,
2,5760, Note_off_c,2,45.0,0,
2,6240, Note_on_c,2,57.0,49,
2,6240, Note_off_c,2,32.0,0,
2,6240, Note_on_c,2,33.0,49,
2,6240, Note_on_c,2,45.0,49,
2,6287, Note_off_c,2,45.0,0,
2,6287, Note_on_c,2,32.0,49,
2,6480, Note_on_c,2,44.0,49,
2,6480, Note_on_c,2,40.0,49,
2,6527, Note_on_c,2,28.0,49,
2,6527, Note_off_c,2,40.0,0,
2,6720, Note_off_c,2,28.0,0,
2,6720, Note_on_c,2,28.0,49,
2,7200, Note_on_c,2,40.0,49,
2,7200, Note_on_c,2,45.0,49,
2,7200, Note_off_c,2,45.0,0,
2,7200, Note_on_c,2,45.0,49,
2,7296, Note_off_c,2,33.0,0,
2,7296, Note_on_c,2,33.0,49,
2,7680, Note_off_c,2,45.0,0,
2,7680, Note_off_c,2,48.0,0,
2,8160, Note_on_c,2,48.0,49,
2,8160, Note_on_c,2,43.0,49,
2,8160, Note_off_c,2,31.0,0,
2,8160, Note_on_c,2,60.0,49,
